UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2023,1,7,The Two Towers: Being the Second Part of The Lord of the Rings,9780547952024,J.R.R. Tolkien,"Classic Literature, Fantasy, Young Adult Fiction",HarperCollins Publishers Inc.,2017
Digital,OverDrive,AUDIOBOOK,2023,1,41,"The Two Towers: The Lord of the Rings Series, Book 2 (unabridged)",9781705047545,J.R.R. Tolkien,"Fantasy, Fiction, Mythology","Recorded Books, LLC",2021
Digital,OverDrive,AUDIOBOOK,2023,1,26,"The Return of the King: The Lord of the Rings Series, Book 3 (unabridged)",9781705047569,J.R.R. Tolkien,"Fantasy, Fiction, Mythology","Recorded Books, LLC",2021
Digital,OverDrive,AUDIOBOOK,2023,1,52,"The Return of the King: The Lord of the Rings Series, Book 3 (unabridged)",9781461836162,J.R.R. Tolkien,"Fantasy, Fiction","Recorded Books, LLC",2020
Digital,OverDrive,EBOOK,2023,1,12,The Return of the King: Being the Third Part of the Lord of the Rings,9780547952048,J.R.R. Tolkien,"Fantasy, Mythology, Young Adult Fiction",HarperCollins Publishers Inc.,2017
Digital,OverDrive,AUDIOBOOK,2023,1,20,"The Lord of the Rings, the Fellowship of the Ring",9781405646192,J.R.R. Tolkien,"Fantasy, Fiction",Penguin Random House UK,2009
Digital,OverDrive,AUDIOBOOK,2023,1,9,"The Fellowship of the Ring: The Lord of the Rings Series, Book 1 (abridged, dramatized performance)",9781598874501,J.R.R. Tolkien,"Classic Literature, Fantasy, Fiction",HighBridge Company,2007
Digital,OverDrive,AUDIOBOOK,2023,1,60,"The Two Towers: The Lord of the Rings Series, Book 2 (unabridged)",9781461836155,J.R.R. Tolkien,"Fantasy, Fiction, Mythology","Recorded Books, LLC",2020
Digital,OverDrive,EBOOK,2023,1,13,The Fellowship of the Ring: Being the First Part of The Lord of the Rings,9780547952017,J.R.R. Tolkien,"Classic Literature, Fantasy, Fiction",HarperCollins Publishers Inc.,2015
Digital,OverDrive,AUDIOBOOK,2023,1,151,"The Fellowship of the Ring: The Lord of the Rings Series, Book 1 (unabridged)",9781461836148,J.R.R. Tolkien,"Fantasy, Fiction, Mythology","Recorded Books, LLC",2020
Digital,OverDrive,AUDIOBOOK,2023,1,20,"The Fellowship of the Ring: The Lord of the Rings Series, Book 1 (unabridged)",9781705047538,J.R.R. Tolkien,"Fantasy, Fiction, Mythology","Recorded Books, LLC",2021
Digital,OverDrive,AUDIOBOOK,2023,1,3,"The Lord of the Rings, The Return of the King",9781405646215,J.R.R. Tolkien,"Fantasy, Fiction",Penguin Random House UK,2022
Digital,OverDrive,EBOOK,2023,1,15,The Lord of the Rings: One Volume,9780547951942,J.R.R. Tolkien,"Fantasy, Fiction",HarperCollins Publishers Inc.,2017
